# generated by: python3 docs/evidence/2026-09-05_typed-consumer-sprint/make-manifest.py --tip 7edc298f257519652646b7a59bca959671d33063 --base 471956831251e428df3a64c5b8fc7fb79cbebbfc --main dd636996497f4e00237e0ce3a53c234255349a83 --out docs/evidence/2026-09-05_typed-consumer-sprint
# archive branch tip 7edc298f257519652646b7a59bca959671d33063; base (merge-base with main) 471956831251e428df3a64c5b8fc7fb79cbebbfc; source-copy detection against the non-evidence trees of the tip and of main dd636996497f4e00237e0ce3a53c234255349a83
# the bytes are NOT on main; `git show <tip>:<path>` (or `git cat-file -p`) on the archive branch yields them
# one row per top-level docs/evidence/<dir>/ left on the archive branch; the per-file rows are in manifest/<dir>.tsv
# columns: dir	files	bytes	gate-tail	witness	probe	source-copy	archive	capture	review	other	manifest_file
docs/evidence/2026-09-05_typed-contract-design-review/	13	16131	2	0	7	0	0	3	1	0	manifest/2026-09-05_typed-contract-design-review.tsv
docs/evidence/2026-09-06_abort-observation/	21	66058	15	0	0	0	0	5	1	0	manifest/2026-09-06_abort-observation.tsv
docs/evidence/2026-09-06_abort-observation-independent/	27	168118	9	0	4	9	0	5	0	0	manifest/2026-09-06_abort-observation-independent.tsv
docs/evidence/2026-09-06_abort-observation-integration/	7	582082	1	0	1	0	0	4	1	0	manifest/2026-09-06_abort-observation-integration.tsv
docs/evidence/2026-09-06_b7-design/	3	19056	0	0	0	0	0	2	1	0	manifest/2026-09-06_b7-design.tsv
docs/evidence/2026-09-06_boolean-helper-review/	8	13614	4	0	1	0	0	2	1	0	manifest/2026-09-06_boolean-helper-review.tsv
docs/evidence/2026-09-06_boolean-initialization/	5	25194	2	0	0	0	0	2	1	0	manifest/2026-09-06_boolean-initialization.tsv
docs/evidence/2026-09-06_boolean-initialization-review/	8	32867	4	0	1	0	0	2	1	0	manifest/2026-09-06_boolean-initialization-review.tsv
docs/evidence/2026-09-06_boolean-program-draft-review/	4	10111	0	0	1	0	0	2	1	0	manifest/2026-09-06_boolean-program-draft-review.tsv
docs/evidence/2026-09-06_boolean-program-integration/	18	66828	7	0	0	0	0	10	1	0	manifest/2026-09-06_boolean-program-integration.tsv
docs/evidence/2026-09-06_boolean-program-review/	7	34935	2	1	1	0	0	2	1	0	manifest/2026-09-06_boolean-program-review.tsv
docs/evidence/2026-09-06_boolean-promotion-review/	12	49166	3	0	3	3	0	2	1	0	manifest/2026-09-06_boolean-promotion-review.tsv
docs/evidence/2026-09-06_boolean-runtime-invariant/	5	29931	2	0	0	0	0	2	1	0	manifest/2026-09-06_boolean-runtime-invariant.tsv
docs/evidence/2026-09-06_boolean-storage-setup/	13	591122	4	0	0	0	0	8	1	0	manifest/2026-09-06_boolean-storage-setup.tsv
docs/evidence/2026-09-06_boolean-typing/	9	27797	3	0	0	0	0	5	1	0	manifest/2026-09-06_boolean-typing.tsv
docs/evidence/2026-09-06_i1-admission-design/	12	2409520	2	0	1	0	1	7	1	0	manifest/2026-09-06_i1-admission-design.tsv
docs/evidence/2026-09-06_i1-declaration-foundation/	13	59275	7	1	0	0	0	5	0	0	manifest/2026-09-06_i1-declaration-foundation.tsv
docs/evidence/2026-09-06_i1-declaration-prototype/	11	15232	8	0	0	0	0	3	0	0	manifest/2026-09-06_i1-declaration-prototype.tsv
docs/evidence/2026-09-06_i1-declaration-review/	11	25805	2	0	2	1	0	4	2	0	manifest/2026-09-06_i1-declaration-review.tsv
docs/evidence/2026-09-06_i1-envelope-independent/	107	2461213	15	0	47	20	0	22	3	0	manifest/2026-09-06_i1-envelope-independent.tsv
docs/evidence/2026-09-06_i1-json-boundary/	17	659531	8	0	2	0	0	6	1	0	manifest/2026-09-06_i1-json-boundary.tsv
docs/evidence/2026-09-06_i1-json-independent/	282	570344	23	0	120	13	0	125	1	0	manifest/2026-09-06_i1-json-independent.tsv
docs/evidence/2026-09-06_i1-json-integration/	32	3322118	4	0	0	0	1	27	0	0	manifest/2026-09-06_i1-json-integration.tsv
docs/evidence/2026-09-06_i1-json-union-independent/	9	562160	1	0	1	0	0	6	1	0	manifest/2026-09-06_i1-json-union-independent.tsv
docs/evidence/2026-09-06_i1-positive-declaration-review/	8	10121	3	0	1	0	0	3	1	0	manifest/2026-09-06_i1-positive-declaration-review.tsv
docs/evidence/2026-09-06_i1-positive-declarations/	21	205710	3	0	7	4	0	6	1	0	manifest/2026-09-06_i1-positive-declarations.tsv
docs/evidence/2026-09-06_i1-positive-integration/	7	588236	1	0	1	0	0	4	1	0	manifest/2026-09-06_i1-positive-integration.tsv
docs/evidence/2026-09-06_i1-union-independent/	7	72151	1	0	3	0	0	2	1	0	manifest/2026-09-06_i1-union-independent.tsv
docs/evidence/2026-09-06_o2-string-independent-review/	13	50486	5	0	3	0	0	4	1	0	manifest/2026-09-06_o2-string-independent-review.tsv
docs/evidence/2026-09-06_o2-terminal-integration/	38	3322518	6	0	0	0	3	28	1	0	manifest/2026-09-06_o2-terminal-integration.tsv
docs/evidence/2026-09-06_o2-terminal-union-independent/	6	555330	0	0	1	0	0	4	1	0	manifest/2026-09-06_o2-terminal-union-independent.tsv
docs/evidence/2026-09-06_observer-classification/	45	1776306	12	0	6	0	0	26	1	0	manifest/2026-09-06_observer-classification.tsv
docs/evidence/2026-09-06_observer-controls/	22	719816	8	0	3	0	0	10	0	1	manifest/2026-09-06_observer-controls.tsv
docs/evidence/2026-09-06_observer-diagnostic-review/	27	575797	6	1	2	0	2	12	4	0	manifest/2026-09-06_observer-diagnostic-review.tsv
docs/evidence/2026-09-06_observer-diagnostic-tools/	13	98769	5	0	0	0	0	5	0	3	manifest/2026-09-06_observer-diagnostic-tools.tsv
docs/evidence/2026-09-06_observer-hybrid-production-review/	14	218636	3	0	1	1	1	6	2	0	manifest/2026-09-06_observer-hybrid-production-review.tsv
docs/evidence/2026-09-06_observer-hybrid-review/	11	161717	2	0	2	1	0	4	2	0	manifest/2026-09-06_observer-hybrid-review.tsv
docs/evidence/2026-09-06_observer-integration/	16	1880517	1	0	2	0	0	12	1	0	manifest/2026-09-06_observer-integration.tsv
docs/evidence/2026-09-06_observer-integration-review/	3	5465	0	0	0	0	0	2	1	0	manifest/2026-09-06_observer-integration-review.tsv
docs/evidence/2026-09-06_observer-mock-review/	4	58368	0	0	1	1	0	1	1	0	manifest/2026-09-06_observer-mock-review.tsv
docs/evidence/2026-09-06_observer-review/	13	451931	4	1	1	0	1	5	1	0	manifest/2026-09-06_observer-review.tsv
docs/evidence/2026-09-06_observer-system-review/	36	263233	11	0	15	2	0	7	1	0	manifest/2026-09-06_observer-system-review.tsv
docs/evidence/2026-09-06_panic-rendering/	22	585713	9	0	2	0	0	10	1	0	manifest/2026-09-06_panic-rendering.tsv
